단과대학,학과,연락처,학과실,홈페이지
경영대학,경영학부,062-530-1430,경영대학 2호관 106호,https://biz.jnu.ac.kr/
경영대학,경제학부,"062-530-1540, 1560",경영대학 2호관 109호,https://cba.jnu.ac.kr/
공과대학,소프트웨어공학과,062-530-1750,공과대학 7호관 215호,https://sw.jnu.ac.kr/
공과대학,건축학부,"062-530-1630, 1957",공과대학 2호관 310호,https://archi.jnu.ac.kr/
공과대학,토목공학과,062-530-1650,공과대학 3호관 B동 206호,https://civil.jnu.ac.kr/
공과대학,환경에너지공학과(환에공),062-530-1860,공과대학 3호관 A동 203호,https://eee.jnu.ac.kr/
공과대학,에너지자원공학과(에자공),062-530-1720,공과대학 3호관 A동 111호,https://resources.jnu.ac.kr/
공과대학,기계공학부,"062-530-1660, 1670",공과대학 1호관 A동 302-2호,https://mech.jnu.ac.kr/
공과대학,신소재공학부,"062-530-1700, 1710",공과대학 6호관 319호,https://mse.jnu.ac.kr/
공과대학,전자공학과,062-530-1800,공과대학 7호관 225호,https://ee.jnu.ac.kr/
공과대학,컴퓨터정보통신공학과,062-530-1751,공과대학 7호관 226호,https://ce.jnu.ac.kr/
공과대학,전기공학과,062-530-1740,공과대학 6호관 505호,https://elec.jnu.ac.kr/
공과대학,화학공학부,062-530-1850,공과대학 5호관 234호,https://ace.jnu.ac.kr/
공과대학,고분자융합소재공학부,"062-530-1770, 1870",공과대학 5호관 305호,https://pf.jnu.ac.kr/
공과대학,산업공학과,062-530-1786,공과대학 1호관 A동 504호,https://ie.jnu.ac.kr/
공과대학,생물공학과,062-530-1048,공과대학 5호관 5-232호,https://bte.jnu.ac.kr/
간호대학,간호학과,062-530-4937,간호대학,https://nursing.jnu.ac.kr/
농업생명과학대학(농생대학),응용식물학과,062-530-2050,농업생명과학대학 4호관 225호,https://agro.jnu.ac.kr/
농업생명과학대학(농생대학),원예생명공학과,062-530-5114,농업생명과학대학 4호관 117호,https://hort.jnu.ac.kr/
농업생명과학대학(농생대학),응용생물학과,062-530-2070,농업생명과학대학 4호관 201-1호,https://agribio.jnu.ac.kr/
농업생명과학대학(농생대학),산림자원학과,062-530-5114,농업생명과학대학 3호관 308호,https://forestry.jnu.ac.kr/
농업생명과학대학(농생대학),임산공학과,062-530-2090,농업생명과학대학 3호관 206호,https://wood.jnu.ac.kr/
농업생명과학대학(농생대학),조경학과,062-530-2100,농업생명과학대학 3호관 407호,https://jnula.jnu.ac.kr/
농업생명과학대학(농생대학),농생명화학과,062-530-2130,농업생명과학대학,https://agrochem.jnu.ac.kr/
농업생명과학대학(농생대학),식품공학과,062-530-2140,농업생명과학대학 3호관 105호,https://foodsci.jnu.ac.kr/
농업생명과학대학(농생대학),분자생명공학과,062-530-2160,농업생명과학대학 4호관 314호,https://mimb.jnu.ac.kr/
농업생명과학대학(농생대학),동물자원학부,062-530-5114,농업생명과학대학 4호관 529호,https://animalscience.jnu.ac.kr/
농업생명과학대학(농생대학),지역·바이오시스템공학과,062-530-5114,농업생명과학대학 1호관 218호,https://rbe.jnu.ac.kr/
농업생명과학대학(농생대학),바이오에너지공학과,062-530-2043,농업생명과학대학 4호관 121호,https://bioenergy.jnu.ac.kr/
농업생명과학대학(농생대학),농업경제학과,062-530-2170,농업생명과학대학 4호관 322호,https://ae.jnu.ac.kr/
농업생명과학대학(농생대학),융합바이오시스템기계공학과,062-530-5114,농업생명과학대학 1호관 218호,https://bse.jnu.ac.kr/
사범대학,교육학과,062-530-2340,교육융합관 915호,https://educate.jnu.ac.kr/
사범대학,국어교육과,062-530-2410,교육융합관 323호,https://koredu.jnu.ac.kr/
사범대학,영어교육과,062-530-2430,교육융합관 1006호,https://engedu.jnu.ac.kr/
사범대학,지리교육과,062-530-2380,교육융합관 817호,https://geoedu.jnu.ac.kr/
사범대학,역사교육과,062-530-2370,교육융합관 815호,https://hisedu.jnu.ac.kr/
사범대학,윤리교육과,062-530-2400,교육융합관 816호 ,https://ethicsedu.jnu.ac.kr/
사범대학,수학교육과,062-530-2470,교육융합관 715호,https://mathedu.jnu.ac.kr/
사범대학,물리교육과,062-530-2480,과학교육관 205호,https://physicsedu.jnu.ac.kr/
사범대학,화학교육과,062-530-2490,과학교육관 408호,https://chemedu.jnu.ac.kr/
사범대학,생물교육과,062-530-2500,과학교육관,https://bioedu.jnu.ac.kr/
사범대학,지구과학교육과,062-530-2510,과학교육관 107호,https://earthedu.jnu.ac.kr/
사범대학,가정교육과,062-530-2520,교육융합관 324호,https://homeedu.jnu.ac.kr/
사범대학,음악교육과,062-530-2530,교육융합관 B112호,https://musicedu.jnu.ac.kr/
사범대학,체육교육과,062-530-2550,사범대학 체육교육관,https://physicaledu.jnu.ac.kr/
사범대학,유아교육과,062-530-5114,교육융합관 718호,https://ecedu.jnu.ac.kr/
사범대학,특수교육학부,"062-530-5410, 5400",교육융합관 221호,https://spededu.jnu.ac.kr/
사회과학대학,정치외교학과,062-530-2620,사회과학대학,https://politics.jnu.ac.kr/
사회과학대학,사회학과,062-530-2640,사회과학대학 163호,https://sociology.jnu.ac.kr/
사회과학대학,심리학과,062-530-2650,사회과학대학 260호,https://psyche.jnu.ac.kr/
사회과학대학,문헌정보학과,062-530-2660,사회과학대학 330호,https://list.jnu.ac.kr/
사회과학대학,미디어커뮤니케이션학과,062-530-2670,사회과학대학 360호,https://comm.jnu.ac.kr/
사회과학대학,지리학과,062-530-2680,사회과학대학 430호,https://geo.jnu.ac.kr/
사회과학대학,문화인류고고학과,062-530-2690,사회과학대학 230호,https://illyu.jnu.ac.kr/
사회과학대학,행정학과,062-530-2250,사회과학대학 145호,https://jnupa.jnu.ac.kr/
생활과학대학,생활복지학과,062-530-1320,생활과학대학 412호,https://welfare.jnu.ac.kr/
생활과학대학,식품영양과학부,"062-530-1330, 1350",생활과학대학 325호,https://fn.jnu.ac.kr/
생활과학대학,의류학과,062-530-1340,생활과학대학 311호,https://clothing.jnu.ac.kr/
수의과대학,수의예과,"062-530-2805, 2806",수의과학대학 1호관 105호,https://vetmed.jnu.ac.kr/
수의과대학,수의학과,"062-530-2805, 2806",수의과학대학 1호관 105호,https://vetmed.jnu.ac.kr/
약학대학,약학부,062-530-2920,약학대학,https://pharmacy.jnu.ac.kr/
예술대학,음악학과,062-530-3030,예술대학 3호관 201호,https://music.jnu.ac.kr/
예술대학,국악학과,062-530-3050,예술대학 3호관 105호,https://koreanmusic.jnu.ac.kr/
예술대학,미술학과,062-530-2540,예술대학 2호관 204호,https://fineart.jnu.ac.kr/
예술대학,디자인학과,062-530-3070,예술대학 디자인학과,https://design.jnu.ac.kr/
의과대학,의예과,062-220-4006,광주 동구 백서로 160 전남대학교 의과대학,https://medicine.jnu.ac.kr/
의과대학,의학과,062-220-4006,광주 동구 백서로 160 전남대학교 의과대학,https://medicine.jnu.ac.kr/
인문대학,국어국문학과,062-530-3130,인문대 3호관 203호,https://korean.jnu.ac.kr/
인문대학,영어영문학과,062-530-3150,인문대 3호관 2층 통합학과실,https://ell.jnu.ac.kr/
