학과,등록금
자율전공학부(인문),"1,719,000"
자율전공학부(자연),"2,040,000"
농업경제학과,"1,719,000"
문화사회과학대학,"1,719,000"
사회과학대학,"1,719,000"
인문대학,"1,719,000"
경영대학,"1,687,000"
간호대학,"2,050,000"
농업생명과학대학,"2,050,000"
자연대학,"2,050,000"
사범대학(이학계),"2,050,000"
사범대학(예능계),"2,286,000"
시각정보디자인학과,"2,286,000"
예술대학,"2,286,000"
생활과학대학,"2,050,000"
문화콘텐츠학부,"2,050,000"
수산해양대학(이학계),"2,050,000"
수산해양대학(공학계),"2,220,000"
AI융합대학,"2,220,000"
공과대학,"2,220,000"
공학대학,"2,220,000"
약학대학(약학계),"3,129,000"
수의과대학(수의예과),"2,517,000"
수의과대학(수의학과),"2,745,000"
의과대학(의예과),"2,709,000"
의과대학(의학과),"3,129,000"
치과대학(치의학과),"3,086,000"
치과대학(학석사 통합과정-치의학계),"3,300,000"
치과대학(학석사 통합과정-치의학계),"6,609,000"
,
